what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254461507187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461512406
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1254461533312
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1254461534296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461539437
opened,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1254461549296
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1254461549312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.views.showView",1254461549328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461568750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461583812
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254461583984
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254461584062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1254461617921
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1254461623312
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461626031
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1254461630281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461635109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461782015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461784343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461785859
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461789859
activated,view,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CView",1254461791687
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254461800968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461802359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461802359
